district,mean_spei,date
Erevan,-1.528668463230133,2001-03-11
Tavush,-0.9107167522112528,2001-03-21
Lori,-0.6083185116832073,2001-03-21
Shirak,-0.6596196563198016,2001-03-21
Gegharkunik,-0.9804702225853416,2001-03-21
Vayots Dzor,-1.126201756298542,2001-03-21
Syunik,-1.0613783346979242,2001-03-21
Ararat,-1.0647391405972568,2001-03-21
Aragatsotn,-1.1246616492668788,2001-03-21
Armavir,-1.437395493189494,2001-03-21
Kotayk,-1.0400757312774658,2001-03-21
Erevan,-1.4144068360328674,2001-03-21
Tavush,0.3328879065811634,2001-04-01
Lori,0.4924550618116672,2001-04-01
Shirak,0.4355721872013349,2001-04-01
Gegharkunik,-0.15071871328879805,2001-04-01
Vayots Dzor,-0.6005928963422775,2001-04-01
Syunik,-0.6550052973784899,2001-04-01
Ararat,-0.5445001450451937,2001-04-01
Aragatsotn,-0.1132328345750769,2001-04-01
Armavir,-0.4329240719477336,2001-04-01
Kotayk,-0.08878933265805244,2001-04-01
Erevan,-0.4940727651119232,2001-04-01
Tavush,-0.09256578135925035,2001-04-11
Lori,0.21071318823557633,2001-04-11
Shirak,0.3927606620754187,2001-04-11
Gegharkunik,-0.4980994050993639,2001-04-11
Vayots Dzor,-0.7867303341627121,2001-04-11
Syunik,-0.6316321260834995,2001-04-11
Ararat,-0.7255042899738658,2001-04-11
Aragatsotn,-0.2933662097590665,2001-04-11
Armavir,-0.5231848132486144,2001-04-11
Kotayk,-0.401835897564888,2001-04-11
Erevan,-0.6932411789894104,2001-04-11
Tavush,-0.12341863025600712,2001-04-21
Lori,-0.023799580844262473,2001-04-21
Shirak,0.07339789804357749,2001-04-21
Gegharkunik,-0.5834914551061743,2001-04-21
Vayots Dzor,-0.8570164069533348,2001-04-21
Syunik,-0.883342011292514,2001-04-21
Ararat,-0.6854559128934686,2001-04-21
Aragatsotn,-0.40843936800956726,2001-04-21
Armavir,-0.55185683319966,2001-04-21
Kotayk,-0.45272364728152753,2001-04-21
Erevan,-0.6184882819652557,2001-04-21
Tavush,0.43947985077587265,2001-05-01
Lori,0.5161847071005747,2001-05-01
Shirak,0.6812048749281809,2001-05-01
Gegharkunik,-0.12076181918382645,2001-05-01
Vayots Dzor,-0.37451308593153954,2001-05-01
Syunik,-0.6324496492743492,2001-05-01
Ararat,-0.19235674325715413,2001-05-01
Aragatsotn,0.15144965052604675,2001-05-01
Armavir,0.07091160615285237,2001-05-01
Kotayk,0.0074208112433552745,2001-05-01
Erevan,-0.11623301357030869,2001-05-01
Tavush,0.8018410081664721,2001-05-11
Lori,0.8013477577612951,2001-05-11
Shirak,0.8133291160831084,2001-05-11
Gegharkunik,0.06345910096869749,2001-05-11
Vayots Dzor,-0.4997674524784088,2001-05-11
Syunik,-0.7769746200034493,2001-05-11
